# JMH version: 1.35
# VM version: JDK 20, OpenJDK 64-Bit Server VM, 20+36-2344
# VM invoker: /home/dreamlike/jdk-20/bin/java
# VM options: --enable-preview
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 100 iterations, 100 ms each
# Measurement: 100 iterations, 100 ms each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.example.demo.DemoApplication.testOld

# Run progress: 0.00% complete, ETA 00:05:00
# Fork: 1 of 5
# Warmup Iteration   1: 13254.881 ops/ms
# Warmup Iteration   2: 19474.939 ops/ms
# Warmup Iteration   3: 24164.657 ops/ms
# Warmup Iteration   4: 23452.335 ops/ms
# Warmup Iteration   5: 23769.098 ops/ms
# Warmup Iteration   6: 23959.752 ops/ms
# Warmup Iteration   7: 23172.240 ops/ms
# Warmup Iteration   8: 24169.035 ops/ms
# Warmup Iteration   9: 23344.338 ops/ms
# Warmup Iteration  10: 23566.031 ops/ms
# Warmup Iteration  11: 23175.962 ops/ms
# Warmup Iteration  12: 24001.604 ops/ms
# Warmup Iteration  13: 24246.951 ops/ms
# Warmup Iteration  14: 22539.688 ops/ms
# Warmup Iteration  15: 20828.658 ops/ms
# Warmup Iteration  16: 21091.782 ops/ms
# Warmup Iteration  17: 22133.495 ops/ms
# Warmup Iteration  18: 22157.036 ops/ms
# Warmup Iteration  19: 20683.047 ops/ms
# Warmup Iteration  20: 22939.581 ops/ms
# Warmup Iteration  21: 21162.545 ops/ms
# Warmup Iteration  22: 15945.364 ops/ms
# Warmup Iteration  23: 19047.441 ops/ms
# Warmup Iteration  24: 20442.670 ops/ms
# Warmup Iteration  25: 18120.064 ops/ms
# Warmup Iteration  26: 18951.832 ops/ms
# Warmup Iteration  27: 18498.443 ops/ms
# Warmup Iteration  28: 17395.873 ops/ms
# Warmup Iteration  29: 15458.315 ops/ms
# Warmup Iteration  30: 13712.992 ops/ms
# Warmup Iteration  31: 11111.282 ops/ms
# Warmup Iteration  32: 12386.202 ops/ms
# Warmup Iteration  33: 17283.966 ops/ms
# Warmup Iteration  34: 18505.542 ops/ms
# Warmup Iteration  35: 20304.705 ops/ms
# Warmup Iteration  36: 20256.593 ops/ms
# Warmup Iteration  37: 21781.791 ops/ms
# Warmup Iteration  38: 21288.408 ops/ms
# Warmup Iteration  39: 23351.765 ops/ms
# Warmup Iteration  40: 21229.368 ops/ms
# Warmup Iteration  41: 19775.664 ops/ms
# Warmup Iteration  42: 19735.041 ops/ms
# Warmup Iteration  43: 18550.045 ops/ms
# Warmup Iteration  44: 18070.407 ops/ms
# Warmup Iteration  45: 15925.355 ops/ms
# Warmup Iteration  46: 13105.111 ops/ms
# Warmup Iteration  47: 13070.219 ops/ms
# Warmup Iteration  48: 15032.746 ops/ms
# Warmup Iteration  49: 18536.184 ops/ms
# Warmup Iteration  50: 19212.537 ops/ms
# Warmup Iteration  51: 19618.539 ops/ms
# Warmup Iteration  52: 19882.475 ops/ms
# Warmup Iteration  53: 20578.988 ops/ms
# Warmup Iteration  54: 21502.042 ops/ms
# Warmup Iteration  55: 22295.142 ops/ms
# Warmup Iteration  56: 21660.076 ops/ms
# Warmup Iteration  57: 20975.637 ops/ms
# Warmup Iteration  58: 20311.804 ops/ms
# Warmup Iteration  59: 20762.410 ops/ms
# Warmup Iteration  60: 21157.806 ops/ms
# Warmup Iteration  61: 20312.636 ops/ms
# Warmup Iteration  62: 22756.448 ops/ms
# Warmup Iteration  63: 21744.697 ops/ms
# Warmup Iteration  64: 19224.162 ops/ms
# Warmup Iteration  65: 18788.530 ops/ms
# Warmup Iteration  66: 20981.193 ops/ms
# Warmup Iteration  67: 19275.793 ops/ms
# Warmup Iteration  68: 19161.378 ops/ms
# Warmup Iteration  69: 20535.034 ops/ms
# Warmup Iteration  70: 20471.257 ops/ms
# Warmup Iteration  71: 21263.720 ops/ms
# Warmup Iteration  72: 22510.995 ops/ms
# Warmup Iteration  73: 21763.890 ops/ms
# Warmup Iteration  74: 21427.576 ops/ms
# Warmup Iteration  75: 22162.639 ops/ms
# Warmup Iteration  76: 20913.219 ops/ms
# Warmup Iteration  77: 16089.200 ops/ms
# Warmup Iteration  78: 17163.123 ops/ms
# Warmup Iteration  79: 18932.399 ops/ms
# Warmup Iteration  80: 20521.539 ops/ms
# Warmup Iteration  81: 15937.766 ops/ms
# Warmup Iteration  82: 11354.304 ops/ms
# Warmup Iteration  83: 11204.544 ops/ms
# Warmup Iteration  84: 12925.725 ops/ms
# Warmup Iteration  85: 14563.477 ops/ms
# Warmup Iteration  86: 13629.591 ops/ms
# Warmup Iteration  87: 16671.024 ops/ms
# Warmup Iteration  88: 19027.078 ops/ms
# Warmup Iteration  89: 19104.956 ops/ms
# Warmup Iteration  90: 19212.776 ops/ms
# Warmup Iteration  91: 19721.283 ops/ms
# Warmup Iteration  92: 19456.797 ops/ms
# Warmup Iteration  93: 19415.848 ops/ms
# Warmup Iteration  94: 20415.336 ops/ms
# Warmup Iteration  95: 19050.826 ops/ms
# Warmup Iteration  96: 20498.798 ops/ms
# Warmup Iteration  97: 21927.932 ops/ms
# Warmup Iteration  98: 21032.506 ops/ms
# Warmup Iteration  99: 19588.855 ops/ms
# Warmup Iteration 100: 19182.634 ops/ms
Iteration   1: 20254.209 ops/ms
Iteration   2: 21597.324 ops/ms
Iteration   3: 23868.504 ops/ms
Iteration   4: 23247.760 ops/ms
Iteration   5: 20928.943 ops/ms
Iteration   6: 20974.262 ops/ms
Iteration   7: 20051.119 ops/ms
Iteration   8: 21787.636 ops/ms
Iteration   9: 21591.646 ops/ms
Iteration  10: 21110.273 ops/ms
Iteration  11: 21479.877 ops/ms
Iteration  12: 21483.841 ops/ms
Iteration  13: 22428.315 ops/ms
Iteration  14: 22612.416 ops/ms
Iteration  15: 18550.740 ops/ms
Iteration  16: 19874.769 ops/ms
Iteration  17: 19231.509 ops/ms
Iteration  18: 18500.163 ops/ms
Iteration  19: 18558.111 ops/ms
Iteration  20: 18152.752 ops/ms
Iteration  21: 19615.026 ops/ms
Iteration  22: 21462.154 ops/ms
Iteration  23: 21133.125 ops/ms
Iteration  24: 20650.028 ops/ms
Iteration  25: 19167.711 ops/ms
Iteration  26: 19102.224 ops/ms
Iteration  27: 20966.727 ops/ms
Iteration  28: 19233.617 ops/ms
Iteration  29: 21807.837 ops/ms
Iteration  30: 20727.142 ops/ms
Iteration  31: 19946.068 ops/ms
Iteration  32: 18494.908 ops/ms
Iteration  33: 16718.090 ops/ms
Iteration  34: 20080.077 ops/ms
Iteration  35: 18669.547 ops/ms
Iteration  36: 14750.807 ops/ms
Iteration  37: 17200.143 ops/ms
Iteration  38: 17828.178 ops/ms
Iteration  39: 18274.912 ops/ms
Iteration  40: 15233.813 ops/ms
Iteration  41: 15294.953 ops/ms
Iteration  42: 14903.249 ops/ms
Iteration  43: 15915.011 ops/ms
Iteration  44: 14784.053 ops/ms
Iteration  45: 15813.736 ops/ms
Iteration  46: 14843.068 ops/ms
Iteration  47: 15048.045 ops/ms
Iteration  48: 17113.018 ops/ms
Iteration  49: 22731.138 ops/ms
Iteration  50: 22045.926 ops/ms
Iteration  51: 22058.683 ops/ms
Iteration  52: 22142.364 ops/ms
Iteration  53: 20451.397 ops/ms
Iteration  54: 21499.744 ops/ms
Iteration  55: 20915.349 ops/ms
Iteration  56: 21775.118 ops/ms
Iteration  57: 20957.650 ops/ms
Iteration  58: 20406.029 ops/ms
Iteration  59: 20107.022 ops/ms
Iteration  60: 18557.827 ops/ms
Iteration  61: 20098.439 ops/ms
Iteration  62: 22210.252 ops/ms
Iteration  63: 24241.642 ops/ms
Iteration  64: 23062.585 ops/ms
Iteration  65: 23318.290 ops/ms
Iteration  66: 24110.488 ops/ms
Iteration  67: 22905.222 ops/ms
Iteration  68: 24638.635 ops/ms
Iteration  69: 22612.709 ops/ms
Iteration  70: 23213.329 ops/ms
Iteration  71: 22268.111 ops/ms
Iteration  72: 24291.834 ops/ms
Iteration  73: 23201.161 ops/ms
Iteration  74: 22096.756 ops/ms
Iteration  75: 22221.424 ops/ms
Iteration  76: 23146.516 ops/ms
Iteration  77: 22811.132 ops/ms
Iteration  78: 22580.490 ops/ms
Iteration  79: 23301.038 ops/ms
Iteration  80: 23279.729 ops/ms
Iteration  81: 23520.363 ops/ms
Iteration  82: 23552.548 ops/ms
Iteration  83: 23829.193 ops/ms
Iteration  84: 23289.497 ops/ms
Iteration  85: 24335.120 ops/ms
Iteration  86: 22721.376 ops/ms
Iteration  87: 23701.836 ops/ms
Iteration  88: 23648.119 ops/ms
Iteration  89: 22175.542 ops/ms
Iteration  90: 20913.018 ops/ms
Iteration  91: 23245.660 ops/ms
Iteration  92: 23131.098 ops/ms
Iteration  93: 23565.239 ops/ms
Iteration  94: 23508.984 ops/ms
Iteration  95: 23140.665 ops/ms
Iteration  96: 22144.150 ops/ms
Iteration  97: 21465.484 ops/ms
Iteration  98: 23867.998 ops/ms
Iteration  99: 22495.346 ops/ms
Iteration 100: 23762.034 ops/ms

# Run progress: 6.67% complete, ETA 00:04:54
# Fork: 2 of 5
# Warmup Iteration   1: 12021.357 ops/ms
# Warmup Iteration   2: 18760.685 ops/ms
# Warmup Iteration   3: 21203.689 ops/ms
# Warmup Iteration   4: 22778.783 ops/ms
# Warmup Iteration   5: 23975.558 ops/ms
# Warmup Iteration   6: 22848.984 ops/ms
# Warmup Iteration   7: 23807.031 ops/ms
# Warmup Iteration   8: 23419.534 ops/ms
# Warmup Iteration   9: 23618.621 ops/ms
# Warmup Iteration  10: 23066.120 ops/ms
# Warmup Iteration  11: 23758.096 ops/ms
# Warmup Iteration  12: 22996.493 ops/ms
# Warmup Iteration  13: 24149.624 ops/ms
# Warmup Iteration  14: 23970.554 ops/ms
# Warmup Iteration  15: 23214.070 ops/ms
# Warmup Iteration  16: 22634.881 ops/ms
# Warmup Iteration  17: 22355.410 ops/ms
# Warmup Iteration  18: 24342.320 ops/ms
# Warmup Iteration  19: 23014.000 ops/ms
# Warmup Iteration  20: 23007.093 ops/ms
# Warmup Iteration  21: 24125.852 ops/ms
# Warmup Iteration  22: 23307.995 ops/ms
# Warmup Iteration  23: 21177.036 ops/ms
# Warmup Iteration  24: 21312.591 ops/ms
# Warmup Iteration  25: 20317.198 ops/ms
# Warmup Iteration  26: 20948.261 ops/ms
# Warmup Iteration  27: 21307.000 ops/ms
# Warmup Iteration  28: 21120.753 ops/ms
# Warmup Iteration  29: 22129.344 ops/ms
# Warmup Iteration  30: 20648.774 ops/ms
# Warmup Iteration  31: 18824.809 ops/ms
